spieler_id,name,verein,marktwert,punkte,punkte_pro_spiel,mw_pro_punkt,mw_pro_punkteschnitt
34064,Micheler,TSG Hoffenheim,170000,0,-,,
32553,Kramarić,TSG Hoffenheim,8220000,220,"6,47",37364,1270479
33574,Tohumcu,TSG Hoffenheim,290000,11,"2,20",26364,131818
34128,Lenz,TSG Hoffenheim,830000,0,-,,
34425,Vogt,TSG Hoffenheim,630000,0,-,,
34336,Fields,TSG Hoffenheim,220000,0,-,,
33270,Lemperle,TSG Hoffenheim,3390000,115,"3,97",29478,853904
34232,Zeitler,TSG Hoffenheim,250000,0,-,,
33507,Wimmer,TSG Hoffenheim,3190000,90,"3,60",35444,886111
33536,Asllani,TSG Hoffenheim,8980000,171,"5,18",52515,1733591
33619,Hložek,TSG Hoffenheim,2690000,2,"0,67",1345000,4014925
33885,Moerstedt,TSG Hoffenheim,1490000,51,"2,43",29216,613169
33439,Atubolu,Sport-Club Freiburg,950000,125,"3,68",7600,258152
33647,Backhaus,Sport-Club Freiburg,2890000,124,"3,88",23306,744845
32656,F. Müller,Sport-Club Freiburg,170000,0,-,,
32506,Huth,Sport-Club Freiburg,170000,0,-,,
34476,Steinmann,Sport-Club Freiburg,200000,0,-,,
33815,Rosenfelder,Sport-Club Freiburg,520000,16,"1,60",32500,325000
33829,Makengo,Sport-Club Freiburg,700000,44,"2,20",15909,318182
33947,Treu,Sport-Club Freiburg,2190000,75,"2,68",29200,817164
34020,Yılmaz,Sport-Club Freiburg,2310000,0,-,,
34021,Ogbus,Sport-Club Freiburg,660000,40,"2,35",16500,280851
31910,Ginter,Sport-Club Freiburg,4830000,143,"4,47",33776,1080537
32579,Jung,Sport-Club Freiburg,220000,21,"1,75",10476,125714
32019,Günter,Sport-Club Freiburg,470000,44,"1,91",10682,246073
32807,Lienhart,Sport-Club Freiburg,2470000,69,"3,45",35797,715942
32597,Kübler,Sport-Club Freiburg,960000,84,"3,65",11429,263014
34437,Yamamoto,Sport-Club Freiburg,2780000,0,-,,
34361,Tarnutzer,Sport-Club Freiburg,200000,1,"1,00",200000,200000
34184,Suzuki,Sport-Club Freiburg,3350000,89,"3,56",37640,941011
32071,Grifo,Sport-Club Freiburg,6530000,149,"4,52",43826,1444690
32398,M. Eggestein,Sport-Club Freiburg,3930000,140,"4,12",28071,953883
33008,Muslija,Sport-Club Freiburg,200000,0,-,,
32961,Beste,Sport-Club Freiburg,2970000,98,"3,63",30306,818182
33156,Osterhage,Sport-Club Freiburg,780000,52,"2,74",15000,284672
33603,Y. Engelhardt,Sport-Club Freiburg,3280000,108,"3,60",30370,911111
33783,Matanović,Sport-Club Freiburg,7850000,152,"4,90",51645,1602041
33629,Scherhant,Sport-Club Freiburg,2380000,95,"3,06",25053,777778
32861,Höler,Sport-Club Freiburg,2620000,102,"3,09",25686,847896
34183,Irié,Sport-Club Freiburg,1370000,25,"2,50",54800,548000
33364,Dinkçi,Sport-Club Freiburg,1590000,65,"2,95",24462,538983
34451,Goto,Sport-Club Freiburg,3050000,0,-,,
31458,Grahl,Eintracht Frankfurt,160000,0,-,,
